@relation master

@attribute 'First Name' {Jahlil,Myles,Joshua,Karl,Stanley,Justise,Trey,Ben,Jaylen,Marquese,Zion,Jalen,Jamison,Manny,Onyeka,Akok,Isaiah,Trayce,Precious,Dangelo,Devin,Brandon,Jamal,Anthony,Kihei,Caleb,Max,Keaston,Tyger,Carlos,Talon,Yuri,Nico,Jordan,Carsen,Kevin,Juan,Kris,Darius,Chris,Lonny,David,Preston,Troy,Udonis,Tony,Stromile,Vincent,Tayshaun,Jules,Josh,Travis,Jay,Brian,Lavell,Gary,Matt,Rod,Larry,Marcus,Bernard,Jitim,Julius,Bryant,Mike,Andre,Marquis,Kyle,Daniel,Bj,Jawad,Michael,Terence,Vedran,Ricky,Hakim,Ryan,Chuck,Jj,Nik,Justin,Rashad,Eric,Shelden,Jeff,Greg,Maurice,Adam,Paul,Dee,Alando,Carl,Curtis,Craig,Randy,Allan,Gerry,Julian,Jr,Al,Dion,Quincy,Renaldo,Jermareo,James,Cliff,Jack,Toney,Sean,Drew,Geary,Glen,Randolph,Charles,Joakim,Darian,Steven,Kc,Ad,Tyrese,Tyler,Jamelle,Terrence,Sharaud,Wesley,Dominic,Sam,Jerel,Garrett,Richard,Korvotney,Deon,Jon,Wayne,Trevor,Greivis,Deshawn,Raymar,Eugene,Jerome,Lazar,Deonta,Dasean,Scottie,Luke,Albert,Perry,Jarvis,Malcolm,Nolan,Evan,Demetri,Robbie,Jajuan,Kalin,Etwaun,Talor,Marshon,Corey,Austin,Dominique,Jeremy,Delvon,Alex,Aj,Patrick,Draymond,William,John,Darryl,Ashton,Kemba,Terrance,Storm,Festus,Jamychal,Mason,Durand,Erick,Tim,Christian,Kenny,Reginald,Joe,Keith,Deshaun,Roy,Dj,Edwin,Cleveland,Bryce,Donte,Patric,Quinn,Tre,Aaron,Darrun,Jayvaughn,Ladontae,Hunter,Tj,Olivier,Brice,Shavon,Denzel,Kellen,Dvauntes,Gavin,Nerlens,Asauhn,Laimonas,Armani,Willie,Jamel,Kennedy,Jaron,Peter,Zak,Nigel,Billy,Bobby,Sebastian,Damian,Jimmie,Moses,Grayson,Bonzie,Joel,Jaesean,Isaac,Shep,Vince,Melo,Nate,Phil,Angel,Desi,Khadeen,Kelan,Trevon,Yante,Glynn,Ethan,Eli,Jessie,Derek,Horace,Aric,Kevarrius,Donta,Tyus,Ky,Cassius,Lamar,Alpha,Shamorie,Kamar,Markus,Adrio,Clevon,Robert,Grant,Anfernee,Luka,Nicolas,Abdul,Doug,Frank,Casey,Nick,Dan,Sherron,Dejuan,Andrew,Shane,Emeka,Ty,Jameer,Carmelo,Dwyane,Blake,Stephen,Jason,Kawhi}
@attribute 'Last Name' {Okafor,Turner,Morgan,Anthony,Johnson,Winslow,Lyles,Simmons,Brown,Chriss,Williamson,Smith,Battle,Bates,Okongwu,Akok,Stewart,Jackson,Achiuwa,Russell,Booker,Ingram,Murray,Cowan,Clark,Hunter,Edwards,Abmas,Willis,Campbell,Paez,Cooper,Collins,Mannion,Lyons,Durant,Dixon,Lang,Grundy,Songaila,Williams,Baxter,Braswell,Graves,Shumpert,Murphy,Haslem,Kitchings,Swift,Yarbrough,Prince,Camara,Howard,Boozer,Watson,Cook,Blanchard,Buchanan,Carroll,Bell,Grizzard,Satchell,Haislip,Robinson,Young,Page,Matthews,Sweetney,Barrett,Rice,Daniels,Estill,Davis,Ewing,Elder,Hodge,Wilkinson,Hill,Dials,Vukusic,Shields,Gordon,Warrick,Gomes,Thomas,Crump,Lee,Hayes,Redick,Caner,Gray,Mccants,Horner,Brunner,Ager,Haluska,Horton,Tucker,Bowman,Krauser,Sumpter,Pittsnogle,Foye,Ray,Mcnamara,Terrell,Reynolds,Thornton,Harris,Douby,Bass,Balkman,Davidson,Wallace,Gist,Hammonds,Mcclinton,Douglas,Singletary,Neitzel,Claxton,Morris,Rhodes,Noah,Horford,Townes,Rivers,Vassallo,Hansbrough,Cornley,Adrien,Curry,Devendorf,James,Mcneal,Temple,Hendrix,Barber,Thompson,Scheyer,Ellington,Vasquez,Sims,Harvey,Dyson,Hayward,Vaughn,Butler,Harangody,Washington,Chism,Stevenson,Varnado,Scott,Delaney,Allen,Singler,Diebler,Mccamey,Hummel,Lucas,Moore,Brooks,Fisher,Freeman,Jones,Hazell,Tyus,Ogilvy,Patterson,Muldrow,Zeller,Green,Taylor,Gatens,Buford,Shurna,Bryant,Gibbs,Walker,Miller,Henry,Thompkins,Warren,Ezeli,Snaer,Plumlee,Frazier,Paul,Watford,Crawford,Triche,Gabriel,Buckner,Mckie,Appling,Hardaway,Devyn,Newbill,Fuquan,Melvin,Cotton,Brogdon,Demps,Hollins,White,Hilliard,Pinkston,Henton,Harrison,Mickelson,Hanlan,Georges-Hunt,Paige,Hammons,Valentine,Ferrell,Dunham,Arcidiacono,Ware,Carrera,Noel,Chatkevicius,Cauley,Artis,Meeks,Blossomgame,Jok,Irvin,Garrett,Hart,Portis,Saiz,Kornet,Mickey,Kingsley,Colson,Berry,Tate,Haas,Garner,Trimble,Mcintosh,Mason,Booth,Delgado,Rodriguez,Carrington,Martin,Bluiett,Maten,Maye,Watsonjr,Happ,Cain,Govan,Brunson,Ogbeide,Nebo,Spencer,Alexander,Silva,Holman,Hall,Winston,Stevens,Diallo,Ponds,Baldwin,Powell,Bailey,Wiley,Mclemore,Garza,Gafford,Ado,Guy,Mcdermott,Kaminsky,Brewer,Jacobsen,Lofton,Roy,Simien,Fazekas,Dickau,Collison,Kaman,Gooden,Love,West,May,Blair,Morsell,Oden,Bogut,Beasley,Battier,Ford,Lawson,Wall,Morrison,Nelson,Wade,Griffin,Leonard}
@attribute 'Height in Inches' numeric
@attribute 1done {Yes,No}
@attribute 'Freshman Year' numeric
@attribute School {Duke,Texas,'Long Beach State',Kentucky,Arizona,LSU,California,Washington,Maryland,'George Washington','NC State',USC,UConn,Siena,Indiana,Memphis,'Ohio State',Clemson,Virginia,'Mississippi Valley State','Missouri State','Oral Roberts','Incarnate Word',UCLA,'Austin Peay','Morehead State','Saint Louis',Furman,Purdue,UNC,'Wake Forest','Ball State',Georgetown,'Notre Dame',Syracuse,Florida,'South Carolina',Tennessee,Illinois,Michigan,Villanova,'Boston College',Alabama,Arkansas,Northwestern,Pitt,'Virginia Tech','Seton Hall','Miami FL',Georgia,Auburn,'Georgia Tech',Wisconsin,Mercer,Rutgers,Providence,'Florida Atlantic',Iowa,'Michigan State','Iowa State',Jacksonville,'West Virginia',Vanderbilt,'Eastern Illinois','Florida State','Penn State','Mississippi State',Louisville,Marquette,Dayton,Cincinnati,'Eastern Kentucky','High Point','South Florida','Western Illinois',Bradley,'Ole Miss','Central Arkansas',UTEP,'Southern Miss',DePaul,Minnesota,'Texas A&amp;M-Corpus Christi','St. Johns NY',Nebraska,Butler,'Central Michigan',Xavier,Dartmouth,'Saint Francis PA',Creighton,Stanford,Kansas,Nevada,Utah,'Kansas State',Gonzaga,'St. Josephs',Oklahoma,Davidson,Marshall,'San Diego State'}
@attribute Conference {ACC,'Big 12','Big West',SEC,Pac-12,'Big Ten',A-10,AAC,MAAC,SWAC,MVC,Summit,Southland,OVC,Southern,MAC,'Big East',TAAC,A-Sun,'Sun Belt','Big South',WAC,CUSA,Ind,Ivy,NEC,Pac-10,MWC,WCC}
@attribute 'Games Played' numeric
@attribute 'Games Started' numeric
@attribute 'Minutes Played per Game' numeric
@attribute 'Field Goals per Game' numeric
@attribute 'Field Goals Attempted per Game' numeric
@attribute 'Field Goals \%' numeric
@attribute '2-Pointers per Game' numeric
@attribute '2-Pointers Attempted per Game' numeric
@attribute '2-Pointers \%' numeric
@attribute '3-Pointers per Game' numeric
@attribute '3-Pointers Attempted per game' numeric
@attribute '3-Pointer \%' numeric
@attribute 'Free Throws per Game' numeric
@attribute 'Free Throws Attempted per Game' numeric
@attribute 'Free Throw \%' numeric
@attribute 'Offensive Rebounds per Game' numeric
@attribute 'Defensive Rebounds per Game' numeric
@attribute 'Total Rebounds per game' numeric
@attribute 'Assists per Game' numeric
@attribute 'Steals per Game' numeric
@attribute 'Blocks per Game' numeric
@attribute 'Turnovers per Game' numeric
@attribute 'Fouls per Game' numeric
@attribute 'Points per Game' numeric
@attribute 'Strength of Season' numeric

@data
Quincy,Douby,75,No,2003,Rutgers,'Big East',33,5,25.4,4.1,9.7,0.425,2,4.8,0.424,2.1,4.9,0.426,2.2,2.6,0.826,0.7,1.2,1.9,1.7,0.8,0.4,1.9,1.6,12.5,6.87
Brandon,Bass,80,No,2003,LSU,SEC,29,29,34.9,4.2,8.3,0.504,4,7.6,0.525,0.2,0.7,0.263,4.2,5.4,0.783,2.4,4.9,7.4,0.6,0.7,1.9,1.9,2,12.8,6.59
Renaldo,Balkman,80,No,2003,'South Carolina',SEC,33,8,18.2,2.8,4.9,0.558,2.6,4.2,0.612,0.2,0.7,0.25,1.2,2.4,0.519,2.4,2.2,4.6,1.4,1,1.3,1.8,2.2,6.9,5.33
Jermareo,Davidson,82,No,2003,Alabama,SEC,33,28,23.2,2,4.3,0.472,2,4.3,0.472,0,0,?,0.9,1.6,0.577,1.6,2.7,4.3,0.5,0.2,1.4,1.1,2.1,5,10.2
Brandon,Wallace,82,No,2003,'South Carolina',SEC,34,4,13.4,1.4,3.6,0.385,1.1,2.5,0.44,0.3,1.1,0.263,0.6,1.1,0.583,1,2.3,3.4,0.8,0.6,1.1,0.4,1.4,3.7,5.33
James,Gist,81,No,2004,Maryland,ACC,31,2,17.2,2.3,4.7,0.493,2.3,4.7,0.497,0,0,0,1.5,2.5,0.618,1.3,2.7,3.9,0.5,0.8,1,1.3,1.8,6.2,7.89
Cliff,Hammonds,75,No,2003,Clemson,ACC,32,31,30.3,3.7,8.5,0.432,1.8,3.3,0.542,1.9,5.2,0.361,1.3,2,0.646,0.8,2.8,3.6,2.8,1.3,0.2,2,2.1,10.6,8.86
Jack,Mcclinton,73,No,2003,Siena,MAAC,30,23,32.3,4.6,10.8,0.423,3,6.5,0.467,1.5,4.3,0.357,2.9,3.6,0.815,0.9,4.1,5,2.7,1.1,0,2.6,2.9,13.6,-2.47
Toney,Douglas,73,No,2004,Auburn,SEC,31,31,35.6,5.8,13.6,0.424,3.8,8.3,0.457,2,5.4,0.373,3.4,4.3,0.789,0.8,4.5,5.3,1.8,1.4,0.1,2.5,2.5,16.9,6.6
Sean,Singletary,72,No,2004,Virginia,ACC,29,29,29.9,3.5,9,0.385,2.3,5.4,0.429,1.2,3.7,0.321,2.4,3.1,0.775,0.8,2.2,3,3.9,1.7,0.1,2.4,3.2,10.5,10.62
Drew,Neitzel,72,No,2003,'Michigan State','Big Ten',33,14,16.4,1.3,3.4,0.381,0.8,1.9,0.422,0.5,1.5,0.327,0.4,0.6,0.65,0.2,0.6,0.7,2.9,0.5,0,1.4,1.5,3.5,7.41
Geary,Claxton,77,No,2003,'Penn State','Big Ten',30,30,31.9,4.2,9.8,0.431,3.9,8.8,0.445,0.3,1,0.3,3.9,5.5,0.709,3.1,3.2,6.3,1,0.7,0.8,2.5,2.5,12.7,7.31
Glen,Davis,81,No,2004,LSU,SEC,30,28,29.2,4.6,9,0.513,4.5,8.6,0.525,0.1,0.4,0.25,4.2,6.1,0.698,3.4,5.3,8.8,1,1,1.4,1.7,3.1,13.5,7.77
Randolph,Morris,82,No,2004,Kentucky,SEC,34,33,19.8,3.1,5.9,0.528,3.1,5.9,0.528,0,0,?,2.6,4.2,0.615,1.5,2.6,4.2,0.7,0.8,0.9,1,3,8.8,8.1
Charles,Rhodes,80,No,2004,'Mississippi State',SEC,16,0,6.5,1.2,2,0.594,1.2,1.7,0.704,0,0.3,0,0.6,0.8,0.75,0.5,1.4,1.9,0.1,0.1,0.3,0.3,0.9,2.9,6.05
Joakim,Noah,83,No,2004,Florida,SEC,29,0,9.4,1.2,2.1,0.6,1.2,2.1,0.6,0,0,?,1,1.8,0.577,0.8,1.7,2.5,0.5,0.2,0.7,0.6,1.6,3.5,7.12
Al,Horford,82,No,2004,Florida,SEC,32,25,22.8,1.9,4,0.48,1.9,4,0.48,0,0,?,1.8,3.1,0.582,2.3,4.3,6.5,0.9,0.8,1.6,1,2.5,5.6,7.12
Darian,Townes,82,No,2004,Arkansas,SEC,30,14,23.8,4.1,7.8,0.519,4,7.8,0.517,0,0,1,2,2.9,0.698,1.9,2.7,4.6,0.5,0.5,1.6,1.2,2.4,10.2,3.6
Steven,Hill,84,No,2004,Arkansas,SEC,30,18,15.7,1,1.9,0.509,1,1.9,0.509,0,0,?,0.4,0.9,0.462,1,1.3,2.3,0.2,0.5,1.8,0.7,1.9,2.3,3.6
Kc,Rivers,77,No,2005,Clemson,ACC,32,12,25,2.5,6.7,0.377,1.2,2.6,0.44,1.4,4.1,0.336,0.7,0.8,0.84,2,2.7,4.8,1.8,1.5,0.2,1.5,2.5,7.1,4.97
Ad,Vassallo,78,No,2005,'Virginia Tech',ACC,30,10,16.6,2.5,5.7,0.435,1.4,2.5,0.539,1.1,3.1,0.351,0.8,1.1,0.781,0.7,1.8,2.5,0.9,0.5,0.2,0.9,1.7,6.9,4.67
Tyrese,Rice,73,No,2005,'Boston College',ACC,36,0,20.8,2.8,6.5,0.432,1.1,2,0.521,1.8,4.5,0.391,1.9,2.4,0.773,0.3,1.1,1.4,2.5,0.7,0.1,2.1,1,9.3,6.1
Tyler,Hansbrough,81,No,2005,UNC,ACC,31,30,30.4,6.4,11.3,0.57,6.4,11.1,0.571,0.1,0.1,0.5,6,8.2,0.739,3.6,4.3,7.8,1.3,1.2,0.7,2.5,2.8,18.9,7.77
Jamelle,Cornley,78,No,2005,'Penn State','Big Ten',30,23,30.6,4.5,8.7,0.513,4.5,8.7,0.513,0,0,?,2.4,3.8,0.646,2.3,3.4,5.7,1.1,0.8,0,1.6,1.6,11.4,4.98
Terrence,Williams,78,No,2005,Louisville,'Big East',33,21,25.1,3.2,8.1,0.391,1.9,4.2,0.467,1.2,3.9,0.31,0.9,1.5,0.612,1,3.7,4.7,2.1,1,0.3,1.7,1.8,8.4,6.5
Jeff,Adrien,79,No,2005,UConn,'Big East',33,1,16.5,2.5,4.1,0.61,2.5,4.1,0.61,0,0,?,1.5,2.4,0.641,2.1,2.9,5,0.5,0.4,0.8,0.8,1.3,6.5,6.57
Sharaud,Curry,70,No,2005,Providence,'Big East',27,23,33.3,4.4,10.2,0.428,3,6.4,0.468,1.4,3.8,0.359,1.8,2,0.891,1.2,1.9,3.1,3.5,1.1,0.1,2.6,2.8,11.9,7.68
Wesley,Matthews,77,No,2005,Marquette,'Big East',23,14,24.9,2.8,7.1,0.399,2.2,5.7,0.389,0.6,1.4,0.438,2.7,3.5,0.788,1.5,2.6,4,2.2,1.3,0.2,2.3,2.2,9,8.16
Eric,Devendorf,76,No,2005,Syracuse,'Big East',35,30,27.1,4.5,10.1,0.445,3.1,6.3,0.486,1.4,3.8,0.376,1.8,2.2,0.821,0.5,2,2.5,2.3,1,0.4,2.3,2.7,12.2,8.16
Dominic,James,71,No,2005,Marquette,'Big East',31,31,32.5,5.6,13,0.431,4.3,8.6,0.496,1.3,4.4,0.301,2.7,4.2,0.641,0.8,3.7,4.5,5.4,1.6,0.4,2.8,2.4,15.3,8.16
Sam,Young,78,No,2005,Pitt,'Big East',33,3,20.4,3,5.7,0.521,2.8,5.1,0.563,0.1,0.6,0.19,1.8,2.7,0.693,1.8,2.6,4.4,0.8,0.7,0.6,1.5,1.4,7.9,7.01
Jerel,Mcneal,75,No,2005,Marquette,'Big East',31,31,27.5,4.5,10.1,0.442,4,8.6,0.47,0.4,1.5,0.283,1.7,2.3,0.75,1.3,3.2,4.5,2.7,2.1,0.5,3.8,2.5,11.1,8.16
Garrett,Temple,78,No,2005,LSU,SEC,36,35,33.5,1.8,5.4,0.335,1.1,2.4,0.447,0.8,3,0.248,0.7,1,0.676,0.5,2.1,2.6,2.8,1.1,0.9,1.9,2.4,5.1,8.77
Richard,Hendrix,81,No,2005,Alabama,SEC,31,22,27.1,3.5,6.3,0.557,3.5,6.2,0.56,0,0,0,2.4,3.7,0.647,3,4.9,8,0.8,0.8,1.5,1.8,2.6,9.4,8.08
Korvotney,Barber,79,No,2005,Auburn,SEC,28,27,21.3,2.9,5,0.574,2.9,5,0.574,0,0,?,1,2.5,0.4,2.1,2.7,4.8,0.4,0.6,1.5,1.8,2.9,6.8,7.06
Chris,Johnson,78,No,2005,Dayton,A-10,34,3,16.2,1.9,4.4,0.424,1.2,2.4,0.494,0.7,2.1,0.343,1.8,2.3,0.772,2.1,3.1,5.2,0.6,0.5,0.1,0.8,1,6.3,1.76
Deon,Thompson,80,No,2006,UNC,ACC,38,1,12.4,2,3.6,0.558,2,3.6,0.558,0,0,?,0.6,1,0.649,1.1,1.4,2.4,0.4,0.5,0.4,0.9,1.8,4.7,9.3
Jon,Scheyer,77,No,2006,Duke,ACC,33,32,33.7,3.4,8.6,0.398,1.6,3.5,0.444,1.8,5.1,0.365,3.5,4.1,0.846,1.2,2.1,3.3,1.8,1.2,0.2,1.6,1.7,12.2,10.48
Wayne,Ellington,76,No,2006,UNC,ACC,38,37,23.9,4.3,10,0.433,2.6,5.3,0.488,1.7,4.7,0.371,1.3,1.6,0.836,0.7,2.1,2.9,2.1,0.8,0,1.2,1.3,11.7,9.3
Trevor,Booker,79,No,2006,Clemson,ACC,36,36,25.9,4.4,7.3,0.602,4.4,7.3,0.602,0,0,?,1.6,2.5,0.615,3.1,3.3,6.4,1.1,0.9,2.2,2,2.6,10.4,7.82
Greivis,Vasquez,78,No,2006,Maryland,ACC,34,22,28.8,3.4,7.6,0.444,2.4,4.7,0.522,0.9,2.9,0.316,2.2,2.8,0.798,0.8,2.5,3.3,4.6,1.1,0.1,2.7,2.3,9.8,7.59
Deshawn,Sims,80,No,2006,Michigan,'Big Ten',33,2,9.4,1.2,3.6,0.333,1.2,3.4,0.354,0,0.2,0,1,1.5,0.66,0.9,1.4,2.3,0.3,0.2,0.3,0.5,1,3.4,6.79
Raymar,Morgan,80,No,2006,'Michigan State','Big Ten',28,25,27.5,4.3,8.9,0.486,4.1,8.3,0.498,0.2,0.6,0.313,2.9,4.1,0.69,1.7,3.5,5.2,0.9,0.7,0.5,2.5,2.8,11.7,8.45
Eugene,Harvey,72,No,2006,'Seton Hall','Big East',29,29,35.4,5.7,12.3,0.465,5.3,11,0.484,0.4,1.3,0.308,4.7,5.6,0.839,1.6,1.7,3.2,4.2,1.7,0,3.1,2.5,16.5,5.37
Jerome,Dyson,75,No,2006,UConn,'Big East',31,30,30.4,4.2,11.7,0.361,2.8,7.4,0.382,1.4,4.4,0.326,4,5.5,0.719,1.2,2.5,3.6,2.1,1.9,0.4,2.1,2.6,13.8,6.08
Lazar,Hayward,78,No,2006,Marquette,'Big East',34,16,16.3,2.4,5.7,0.428,2.1,4.3,0.5,0.3,1.4,0.208,1.4,2.1,0.667,1.8,1.9,3.6,0.3,0.6,0.1,1,2.1,6.6,6.95
Deonta,Vaughn,73,No,2006,Cincinnati,'Big East',30,27,33,5.1,13.6,0.373,3,6.4,0.466,2.1,7.2,0.292,2.2,3,0.753,0.9,2.5,3.4,3.5,1.8,0,2.4,2.7,14.5,6.97
Dasean,Butler,79,No,2006,'West Virginia','Big East',36,0,23.3,3.8,7.8,0.48,2.7,4.7,0.571,1.1,3.1,0.345,1.5,2.2,0.663,1.3,2.2,3.5,1,1.3,0.1,1.3,1.9,10.1,5.43
Scottie,Reynolds,74,No,2006,Villanova,'Big East',33,32,29.6,4.2,10.9,0.387,2.3,5.7,0.397,1.9,5.2,0.376,4.4,5.3,0.824,0.4,2.5,2.8,4,1.4,0.1,3.1,2.6,14.8,9.16
Luke,Harangody,80,No,2006,'Notre Dame','Big East',32,16,20.6,4.2,9.1,0.459,4.2,9,0.46,0,0,0,2.9,3.6,0.816,2.7,3.5,6.2,1.2,0.9,0.5,1.2,2.6,11.2,4.97
Albert,Jackson,83,No,2006,Georgia,SEC,25,0,9.9,0.9,1.4,0.639,0.9,1.4,0.639,0,0,?,0.4,1,0.417,0.7,1.5,2.2,0.2,0.2,0.6,1.1,1.2,2.2,8.38
Mike,Washington,81,No,2006,Arkansas,SEC,26,1,8.5,1.4,3,0.456,1.2,2.5,0.492,0.2,0.5,0.286,0.5,0.9,0.609,0.8,0.8,1.6,0.2,0.2,0.3,0.6,1.5,3.5,8.74
Wayne,Chism,81,No,2006,Tennessee,SEC,35,18,19.4,3.3,7.5,0.441,2.5,5.2,0.489,0.7,2.3,0.329,1.7,3,0.587,1.9,3.3,5.2,0.9,0.6,0.6,1.3,2.9,9.1,9.15
Perry,Stevenson,81,No,2006,Kentucky,SEC,33,5,10,1.2,1.8,0.656,1.2,1.8,0.656,0,0,?,0.5,0.9,0.533,0.8,1.4,2.2,0.3,0.1,0.8,0.7,0.7,2.9,11.41
Jarvis,Varnado,81,No,2006,'Mississippi State',SEC,35,13,13.5,2.1,3.3,0.647,2.1,3.3,0.652,0,0,0,0.7,1.3,0.533,1.7,2.4,4.2,0.3,0.3,1.9,0.5,2.1,5,6.91
Mike,Scott,73,No,2007,'Eastern Kentucky',OVC,27,11,20,2.2,5.1,0.431,1.9,3.7,0.515,0.3,1.4,0.211,1.2,2.1,0.561,1.7,1.5,3.1,1.4,1.4,0.2,1.2,2.8,5.9,-5.03
Malcolm,Delaney,75,No,2007,'Virginia Tech',ACC,35,24,27.3,2.9,6.9,0.42,1.6,3.6,0.437,1.3,3.3,0.402,2.4,3.1,0.787,0.6,2.2,2.9,3.1,0.8,0.1,2.2,2.6,9.6,6.54
Jeff,Allen,72,No,2007,'High Point','Big South',21,17,29.2,1.6,5.1,0.315,1.2,3.8,0.316,0.4,1.4,0.31,1,1.4,0.667,0.2,1,1.3,2.8,0.9,0,2.6,1.8,4.6,-9.08
Nolan,Smith,74,No,2007,Duke,ACC,34,1,14.7,2.1,4.4,0.467,1.4,2.7,0.516,0.6,1.7,0.386,1.2,1.5,0.769,0.4,1.2,1.5,1.3,0.5,0.1,1.4,1.7,5.9,9.28
Kyle,Singler,80,No,2007,Duke,ACC,34,34,28.6,4.7,10.2,0.457,3.2,5.8,0.545,1.5,4.4,0.34,2.4,3.1,0.774,2.1,3.8,5.8,1.4,1.1,0.7,2.2,3.1,13.3,9.28
Evan,Turner,79,No,2007,'Ohio State','Big Ten',37,30,27.1,2.9,6.3,0.47,2.3,4.4,0.528,0.6,1.9,0.333,1.9,2.8,0.699,0.9,3.5,4.4,2.6,1.3,0.5,2.7,2.4,8.5,7.97
Jon,Diebler,78,No,2007,'Ohio State','Big Ten',37,8,21.1,1.7,5.6,0.304,0.4,1.1,0.366,1.3,4.5,0.289,1.2,1.5,0.782,0.4,2,2.3,1.2,0.7,0.2,1.2,1.2,5.9,7.97
Manny,Harris,77,No,2007,Michigan,'Big Ten',32,32,33,5,13,0.381,3.7,8.9,0.411,1.3,4.1,0.318,4.9,6,0.817,1.1,3.2,4.2,2.7,1.4,0.2,3.6,2,16.1,7.99
Michael,Thompson,82,No,2007,Duke,ACC,16,0,3.7,0.4,0.8,0.538,0.4,0.8,0.538,0,0,?,0.4,0.4,0.857,0.3,0.2,0.5,0,0.1,0.3,0.3,0.6,1.3,8.38
Demetri,Mccamey,75,No,2007,Illinois,'Big Ten',35,17,27.3,2.9,7.9,0.364,1.4,3.7,0.391,1.4,4.2,0.34,1.1,1.7,0.627,0.6,2.3,2.9,3.3,0.5,0.1,2.5,1.5,8.2,8.46
Robbie,Hummel,80,No,2007,Purdue,'Big Ten',33,31,28.5,3.6,7.5,0.484,2.3,4.6,0.507,1.3,2.8,0.447,2.9,3.4,0.865,2.6,3.5,6.1,2.5,1.3,0.7,1.4,3,11.4,5.9
Jajuan,Johnson,82,No,2007,Purdue,'Big Ten',34,17,16.6,2,4.7,0.421,2,4.6,0.427,0,0.1,0,1.4,2.2,0.649,1.1,2,3.1,0.3,0.4,1,0.6,1.7,5.4,5.9
Kalin,Lucas,73,No,2007,'Michigan State','Big Ten',36,17,25.1,3.8,8.9,0.431,3.3,7.4,0.445,0.6,1.5,0.364,2,2.6,0.768,0.4,1.1,1.6,3.8,0.8,0,2,1.8,10.3,7.68
Etwaun,Moore,76,No,2007,Purdue,'Big Ten',34,31,30.6,4.7,10.6,0.443,2.7,6.1,0.449,1.9,4.5,0.434,1.6,2.2,0.716,0.9,3,3.9,2.6,0.9,0.4,1.7,2.5,12.9,5.9
Talor,Battle,72,No,2007,'Penn State','Big Ten',31,30,30.2,3.4,9.9,0.345,1.9,4.5,0.42,1.5,5.5,0.284,1.8,2.7,0.687,0.8,2.7,3.5,3.2,1.3,0.1,2.3,1.6,10.2,6.12
Marshon,Brooks,77,No,2007,Providence,'Big East',18,0,9.3,1.2,3.1,0.382,0.9,2,0.444,0.3,1.1,0.263,0.8,1.2,0.714,0.4,0.5,0.9,0.4,0.3,0.2,0.7,0.7,3.4,7.86
Corey,Fisher,73,No,2007,Villanova,'Big East',34,21,21.9,3.1,8.6,0.354,1.9,5,0.371,1.2,3.6,0.331,1.7,2.3,0.747,0.3,1.4,1.8,2.7,1.1,0,2,1.8,9.1,7.69
Austin,Freeman,76,No,2007,Georgetown,'Big East',34,23,25.6,3.4,6.6,0.513,2.2,3.6,0.605,1.2,2.9,0.4,1.2,1.4,0.816,0.9,2.1,3,1.6,0.9,0.1,1.4,1.5,9.1,7.23
Dominique,Jones,76,No,2007,'South Florida','Big East',31,31,35,5.7,12.4,0.46,4,7.5,0.53,1.7,4.9,0.353,4,5.2,0.759,1.4,3.2,4.6,2.8,1.5,0.3,2.3,2.4,17.1,6.57
Jeremy,Hazell,77,No,2007,'Seton Hall','Big East',32,20,27.3,4.1,10.3,0.393,1.6,3,0.536,2.4,7.3,0.333,2.2,2.9,0.763,0.8,1.5,2.3,0.9,1.4,0.2,1,1.8,12.8,5.47
Delvon,Johnson,81,No,2007,'Western Illinois',Summit,23,2,13.4,1,2,0.511,1,2,0.511,0,0,?,0.5,0.9,0.55,1.2,2.5,3.7,0.1,0.2,0.6,0.6,1.7,2.6,-1.67
Alex,Tyus,80,No,2007,Florida,SEC,36,0,12.7,1.9,3.5,0.54,1.9,3.5,0.54,0,0,?,0.5,1,0.543,0.9,1.6,2.6,0.3,0.1,0.6,0.5,1.1,4.3,4.98
Aj,Ogilvy,82,No,2007,Vanderbilt,SEC,34,33,26.4,5.9,10.1,0.588,5.9,10,0.591,0,0.1,0,5.2,6.7,0.769,2.1,4.7,6.7,1.2,0.7,1.4,2.5,3.1,17,5.54
Patrick,Patterson,81,No,2007,Kentucky,SEC,25,25,35.7,6.5,11.3,0.574,6.5,11.2,0.581,0,0.1,0,3.5,4.8,0.731,2.8,4.8,7.7,1.7,0.8,1.2,2.1,2.8,16.4,7.09
Sam,Muldrow,81,No,2007,'South Carolina',SEC,31,10,13.9,1.3,2.7,0.482,1.3,2.7,0.482,0,0,?,0.5,0.6,0.789,1.1,2.5,3.5,0.3,0.3,1.4,0.6,1.5,3.1,6.11
Tyler,Zeller,84,No,2008,UNC,ACC,15,2,7.8,1.1,2.4,0.472,1.1,2.4,0.472,0,0,?,0.9,1.1,0.765,0.7,1.3,2,0.2,0.2,0.2,0.5,1.3,3.1,8.35
Draymond,Green,79,No,2008,'Michigan State','Big Ten',37,0,11.4,1.2,2.2,0.556,1.2,2.2,0.563,0,0,0,0.9,1.4,0.615,1.1,2.2,3.3,0.8,0.6,0.2,0.6,1.8,3.3,9.37
Jordan,Taylor,73,No,2008,Wisconsin,'Big Ten',33,0,13.2,0.6,2.2,0.26,0.4,1.4,0.298,0.2,0.8,0.192,0.3,0.5,0.588,0.3,0.6,0.9,1.2,0.3,0,0.5,2,1.6,8.43
