id,fname,lname,ht,_done,f_yr,school,conf,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos
Hakim Warrick,Hakim,Warrick,"6'9""",No,2001-02,Syracuse,Big East,35,19,17.4,2.7,4.9,0.552,2.7,4.9,0.553,0,0.1,0.5,0.7,1.7,0.383,2,2.8,4.8,0.5,0.6,0.6,1.1,2,6.1,,5.9
Ryan Gomes,Ryan,Gomes,"6'7""",No,2001-02,Providence,Big East,24,23,31.5,5.5,9.8,0.559,5.5,9.7,0.567,0,0.1,0,2.8,4.6,0.613,3.6,4.3,7.8,1.5,1.4,0.7,1.5,2.6,13.8,,4.54
Chris Thomas,Chris,Thomas,"6'4""",No,,Florida Atlantic,A-Sun,20,5,21.9,3.4,8.8,0.389,2.4,5.7,0.421,1,3.1,0.328,1.2,1.6,0.774,0.9,1.7,2.5,0.7,0.8,0.3,1.9,1.8,9,,-4.18
Brandon Crump,Brandon,Crump,"6'10""",No,,Tennessee,SEC,30,19,21.6,2.8,4.8,0.594,2.8,4.7,0.596,0,0.1,0.5,1.4,2.6,0.551,1.9,2.3,4.2,0.9,0.4,0.6,1.1,2.7,7.1,,10.93
David Lee,David,Lee,"6'9""",No,,Florida,SEC,31,0,18,2.7,4.7,0.579,2.7,4.7,0.579,0,0,,1.6,2.9,0.549,2.1,2.5,4.7,1,0.6,0.7,1.7,1.5,7,,8.37
Chuck Hayes,Chuck,Hayes,"6'6""",No,,Kentucky,SEC,32,9,16.7,2.1,4.5,0.462,1.9,3.8,0.496,0.2,0.7,0.273,1.5,2,0.738,2.1,2.3,4.5,1.1,0.8,0.4,0.7,1.8,5.9,,11.99
Jj Redick,Jj,Redick,"6'4""",No,2002-03,Duke,ACC,33,30,30.7,4.5,10.9,0.413,1.6,3.7,0.439,2.9,7.2,0.399,3.1,3.4,0.919,0.6,1.9,2.5,2,1.2,0.1,1.6,1.7,15,,8.38
Nik Caner,Nik,Caner,"6'8""",No,,Maryland,ACC,31,18,16.7,2.4,4.5,0.536,2.1,3.6,0.577,0.3,0.9,0.37,0.8,1.4,0.581,1.6,1.9,3.5,1,1.2,0.6,0.9,2.1,5.9,,7.56
Justin Gray,Justin,Gray,"6'2""",No,,Wake Forest,ACC,23,10,27.3,3.7,9.6,0.389,2.2,4.7,0.477,1.5,5,0.307,3.7,4.7,0.787,0.7,3,3.6,3.5,1.2,0,2.3,2.5,12.7,,6.96
Rashad Mccants,Rashad,Mccants,"6'4""",No,2002-03,UNC,ACC,35,31,29.9,6.1,12.5,0.491,4.1,7.5,0.542,2.1,5,0.414,2.6,3.8,0.697,1.7,3,4.6,1.5,1.4,0.5,2.3,2.7,17,,10.31
Eric Williams,Eric,Williams,"6'8""",No,,Providence,Big East,30,,26,5.5,10.9,0.508,5.5,10.7,0.516,0,0.2,0,4.6,7,0.66,,,5,1.2,1.2,1.8,1.8,2.3,15.7,,9.95
